id_str,user_id_str,in_reply_to_status_id_str,in_reply_to_user_id_str,created_at,in_reply_to_screen_name,source,user_name,user_screen_name,user_created_at,user_statuses_count,user_description,user_location,user_verified,user_followers_count,user_friends_count,user_url,text,entities_hashtags,entities_urls,entities_user_mentions,retweeted_status_id
1481936843562233857,1379701085267451905,,,2022-01-14 10:30:51+00:00,,Twitter for iPhone,Danilo,Danilo95003066,Wed Apr 07 07:43:03 +0000 2021,572,,,False,12,49,,"Hey, YOU! @US_FDA @FDA and of course for YOU too @NIHDirector @NIH @CDCDirector @CDCgov SAVE THE KIDS. Make… https://t.co/bYOAyIOl1I",[],"[{'url': 'https://t.co/bYOAyIOl1I', 'expanded_url': 'https://twitter.com/i/web/status/1481936843562233857', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [109, 132]}]","[{'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [10, 17]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [18, 22]}, {'screen_name': 'NIHDirector', 'name': 'Lawrence A. Tabak', 'id': 124237063, 'id_str': '124237063', 'indices': [49, 61]}, {'screen_name': 'NIH', 'name': 'NIH', 'id': 15134240, 'id_str': '15134240', 'indices': [62, 66]}, {'screen_name': 'CDCDirector', 'name': 'Rochelle Walensky, MD, MPH', 'id': 426909329, 'id_str': '426909329', 'indices': [67, 79]}, {'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [80, 87]}]",
1481715989733691397,1409650284859691011,,,2022-01-13 19:53:15+00:00,,Twitter for Android,ShawnBlocker3,Blocker3Shawn,Mon Jun 28 23:10:09 +0000 2021,1031,"Trump won!  Biden is an idiot!  Democrats are Socialist, anti-American idiots!  #Trump2024 #LetsGoBrandon",,False,112,233,,RT @Blocker3Shawn: @HHSGov @LADeptHealth @FDA @US_FDA @JoeBiden @WhiteHouse @POTUS Fuck your #CovidVaccine !  Fuck #Fauci !  Fuck #Democrat…,"[{'text': 'CovidVaccine', 'indices': [93, 106]}, {'text': 'Fauci', 'indices': [115, 121]}]",[],"[{'screen_name': 'Blocker3Shawn', 'name': 'ShawnBlocker3', 'id': 1409650284859691011, 'id_str': '1409650284859691011', 'indices': [3, 17]}, {'screen_name': 'HHSGov', 'name': 'HHS.gov', 'id': 44783853, 'id_str': '44783853', 'indices': [19, 26]}, {'screen_name': 'LADeptHealth', 'name': 'Louisiana Department of Health', 'id': 176892371, 'id_str': '176892371', 'indices': [27, 40]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [41, 45]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [46, 53]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [54, 63]}, {'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 1323730225067339784, 'id_str': '1323730225067339784', 'indices': [64, 75]}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': 1349149096909668363, 'id_str': '1349149096909668363', 'indices': [76, 82]}]",1481715454389493763
1481715966920871943,1409650284859691011,,,2022-01-13 19:53:10+00:00,,Twitter for Android,ShawnBlocker3,Blocker3Shawn,Mon Jun 28 23:10:09 +0000 2021,1031,"Trump won!  Biden is an idiot!  Democrats are Socialist, anti-American idiots!  #Trump2024 #LetsGoBrandon",,False,112,233,,RT @Blocker3Shawn: @HHSGov @LADeptHealth @FDA @US_FDA @JoeBiden @WhiteHouse @POTUS Fuck your #CovidVaccine !  Fuck #Fauci !  Fuck #Democrat…,"[{'text': 'CovidVaccine', 'indices': [93, 106]}, {'text': 'Fauci', 'indices': [115, 121]}]",[],"[{'screen_name': 'Blocker3Shawn', 'name': 'ShawnBlocker3', 'id': 1409650284859691011, 'id_str': '1409650284859691011', 'indices': [3, 17]}, {'screen_name': 'HHSGov', 'name': 'HHS.gov', 'id': 44783853, 'id_str': '44783853', 'indices': [19, 26]}, {'screen_name': 'LADeptHealth', 'name': 'Louisiana Department of Health', 'id': 176892371, 'id_str': '176892371', 'indices': [27, 40]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [41, 45]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [46, 53]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [54, 63]}, {'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 1323730225067339784, 'id_str': '1323730225067339784', 'indices': [64, 75]}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': 1349149096909668363, 'id_str': '1349149096909668363', 'indices': [76, 82]}]",1481715808405528576
1481715808405528576,1409650284859691011,,44783853,2022-01-13 19:52:32+00:00,HHSGov,Twitter for Android,ShawnBlocker3,Blocker3Shawn,Mon Jun 28 23:10:09 +0000 2021,1031,"Trump won!  Biden is an idiot!  Democrats are Socialist, anti-American idiots!  #Trump2024 #LetsGoBrandon",,False,112,233,,@HHSGov @LADeptHealth @FDA @US_FDA @JoeBiden @WhiteHouse @POTUS Fuck your #CovidVaccine !  Fuck #Fauci !  Fuck… https://t.co/Cqzu7WKwC2,"[{'text': 'CovidVaccine', 'indices': [74, 87]}, {'text': 'Fauci', 'indices': [96, 102]}]","[{'url': 'https://t.co/Cqzu7WKwC2', 'expanded_url': 'https://twitter.com/i/web/status/1481715808405528576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]","[{'screen_name': 'HHSGov', 'name': 'HHS.gov', 'id': 44783853, 'id_str': '44783853', 'indices': [0, 7]}, {'screen_name': 'LADeptHealth', 'name': 'Louisiana Department of Health', 'id': 176892371, 'id_str': '176892371', 'indices': [8, 21]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [22, 26]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [27, 34]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [35, 44]}, {'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 1323730225067339784, 'id_str': '1323730225067339784', 'indices': [45, 56]}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': 1349149096909668363, 'id_str': '1349149096909668363', 'indices': [57, 63]}]",
1481715454389493763,1409650284859691011,,44783853,2022-01-13 19:51:07+00:00,HHSGov,Twitter for Android,ShawnBlocker3,Blocker3Shawn,Mon Jun 28 23:10:09 +0000 2021,1031,"Trump won!  Biden is an idiot!  Democrats are Socialist, anti-American idiots!  #Trump2024 #LetsGoBrandon",,False,112,233,,@HHSGov @LADeptHealth @FDA @US_FDA @JoeBiden @WhiteHouse @POTUS Fuck your #CovidVaccine !  Fuck #Fauci !  Fuck… https://t.co/XMQjwfCpS1,"[{'text': 'CovidVaccine', 'indices': [74, 87]}, {'text': 'Fauci', 'indices': [96, 102]}]","[{'url': 'https://t.co/XMQjwfCpS1', 'expanded_url': 'https://twitter.com/i/web/status/1481715454389493763', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [112, 135]}]","[{'screen_name': 'HHSGov', 'name': 'HHS.gov', 'id': 44783853, 'id_str': '44783853', 'indices': [0, 7]}, {'screen_name': 'LADeptHealth', 'name': 'Louisiana Department of Health', 'id': 176892371, 'id_str': '176892371', 'indices': [8, 21]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [22, 26]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [27, 34]}, {'screen_name': 'JoeBiden', 'name': 'Joe Biden', 'id': 939091, 'id_str': '939091', 'indices': [35, 44]}, {'screen_name': 'WhiteHouse', 'name': 'The White House', 'id': 1323730225067339784, 'id_str': '1323730225067339784', 'indices': [45, 56]}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': 1349149096909668363, 'id_str': '1349149096909668363', 'indices': [57, 63]}]",
1481692533692452865,169821228,,824326864407822336,2022-01-13 18:20:03+00:00,alt_fda,Twitter for iPhone,Patricia Finger Russell 😻✍️👩🏻‍🦰🥶⛸❄️🏒,BethpageGirl,Fri Jul 23 07:04:50 +0000 2010,181416,NY Long Island Native. Washington State ▶️ Reno NV ▶️ Tulsa OK. #WashingtonEvergreenState #HomeMeansNevada #OklahomaIsOkieDokie. Mommy to 5 adorable cats!!,"Tulsa, OK",False,381,114,,@alt_fda  @US_FDA @FDA_Drug_Info @SteveFDA @fda https://t.co/XIipRt3lmY,[],"[{'url': 'https://t.co/XIipRt3lmY', 'expanded_url': 'https://twitter.com/dcbradcarl/status/1481689191381614596', 'display_url': 'twitter.com/dcbradcarl/sta…', 'indices': [48, 71]}]","[{'screen_name': 'alt_fda', 'name': 'AltFDA', 'id': 824326864407822336, 'id_str': '824326864407822336', 'indices': [0, 8]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [10, 17]}, {'screen_name': 'FDA_Drug_Info', 'name': 'FDA Drug Information', 'id': 53039176, 'id_str': '53039176', 'indices': [18, 32]}, {'screen_name': 'SteveFDA', 'name': 'Dr. Stephen M. Hahn', 'id': 2904169317, 'id_str': '2904169317', 'indices': [33, 42]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [43, 47]}]",
1481668448388321281,71028773,1481668351529308161,71028773,2022-01-13 16:44:20+00:00,AmHeartAdvocacy,Twitter Web App,American Heart Advocacy,AmHeartAdvocacy,Wed Sep 02 17:57:09 +0000 2009,11291,"Nonprofit & nonpartisan. Our mission is to be a relentless force for policies that lead to longer, healthier lives.","Washington, D.C.",False,25800,3177,https://t.co/OOipTbURAA,@califf001 @US_FDA @cecelou18 .@American_Heart strongly supports his @POTUS nomination as @FDA commissioner. https://t.co/fdXTX6Zctg,[],"[{'url': 'https://t.co/fdXTX6Zctg', 'expanded_url': 'https://newsroom.heart.org/news/dr-califf-uniquely-suited-to-lead-fda', 'display_url': 'newsroom.heart.org/news/dr-califf…', 'indices': [109, 132]}]","[{'screen_name': 'califf001', 'name': 'Robert M Califf', 'id': 296551973, 'id_str': '296551973', 'indices': [0, 10]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [11, 18]}, {'screen_name': 'cecelou18', 'name': 'Celine Castronuovo', 'id': 770286434385268736, 'id_str': '770286434385268736', 'indices': [19, 29]}, {'screen_name': 'American_Heart', 'name': 'American Heart Association', 'id': 105242077, 'id_str': '105242077', 'indices': [31, 46]}, {'screen_name': 'POTUS', 'name': 'President Biden', 'id': 1349149096909668363, 'id_str': '1349149096909668363', 'indices': [69, 75]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [90, 94]}]",
1481640660012732426,82276967,1481635986849157130,1379701085267451905,2022-01-13 14:53:55+00:00,Danilo95003066,Twitter for Android,nelmarbe,nelmarbe,Wed Oct 14 04:37:02 +0000 2009,98,,,False,64,192,,@Danilo95003066 @EricTopol @Ocugen @BharatBiotech @US_FDA @FDA @nytimes @FoxNews @CBSHealth @CBSNews @ABC… https://t.co/OTxVPyhzbn,[],"[{'url': 'https://t.co/OTxVPyhzbn', 'expanded_url': 'https://twitter.com/i/web/status/1481640660012732426', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [107, 130]}]","[{'screen_name': 'Danilo95003066', 'name': 'Danilo', 'id': 1379701085267451905, 'id_str': '1379701085267451905', 'indices': [0, 15]}, {'screen_name': 'EricTopol', 'name': 'Eric Topol', 'id': 86626845, 'id_str': '86626845', 'indices': [16, 26]}, {'screen_name': 'Ocugen', 'name': 'Ocugen', 'id': 876589381791997952, 'id_str': '876589381791997952', 'indices': [27, 34]}, {'screen_name': 'BharatBiotech', 'name': 'BharatBiotech', 'id': 2590932906, 'id_str': '2590932906', 'indices': [35, 49]}, {'screen_name': 'US_FDA', 'name': 'U.S. FDA', 'id': 208120290, 'id_str': '208120290', 'indices': [50, 57]}, {'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [58, 62]}, {'screen_name': 'nytimes', 'name': 'The New York Times', 'id': 807095, 'id_str': '807095', 'indices': [63, 71]}, {'screen_name': 'FoxNews', 'name': 'Fox News', 'id': 1367531, 'id_str': '1367531', 'indices': [72, 80]}, {'screen_name': 'CBSHealth', 'name': 'CBS News Health', 'id': 10791192, 'id_str': '10791192', 'indices': [81, 91]}, {'screen_name': 'CBSNews', 'name': 'CBS News', 'id': 15012486, 'id_str': '15012486', 'indices': [92, 100]}, {'screen_name': 'ABC', 'name': 'ABC News', 'id': 28785486, 'id_str': '28785486', 'indices': [101, 105]}]",
1481632401877082115,883147630636916736,,146569971,2022-01-13 14:21:06+00:00,CDCgov,Twitter for Android,LOZ,LOZ41666248,Fri Jul 07 02:16:18 +0000 2017,103493,STAND UP FOR AMERICA 🇺🇸,,False,2096,2341,,@CDCgov CDC knows the masks don't work but they will continue to tell you to wear it to keep DEHUMANIZING you as a… https://t.co/gaUMGfvUd4,[],"[{'url': 'https://t.co/gaUMGfvUd4', 'expanded_url': 'https://twitter.com/i/web/status/1481632401877082115', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]","[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [0, 7]}]",
1481443431033368576,97981165,,1255526396807561217,2022-01-13 01:50:12+00:00,FDA,Twitter for iPhone,JennReid,jr10962001,Sat Dec 19 21:00:49 +0000 2009,8693,,"Phoenix, AZ",False,65,390,,@FDA Dr Peter Marks Dr Shimabukuru…why do you continually turn your head to Vax Damage? U have been notified by man… https://t.co/ok6a7Sfdr8,[],"[{'url': 'https://t.co/ok6a7Sfdr8', 'expanded_url': 'https://twitter.com/i/web/status/1481443431033368576', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]","[{'screen_name': 'FDA', 'name': 'FDA', 'id': 1255526396807561217, 'id_str': '1255526396807561217', 'indices': [0, 4]}]",
